"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0.25,0.25,0.5,0,90802.1461497215,1257043.1303179,2899938.2792477,1248787200,4,0,749,699,0,0,0,0,0.517265193370166,0.482734806629834,0,0,0,0,0.115158131025046,0.884841868974954,0,0,0,0,143808000,1104979200,0,0,0,52
0.5,0.25,0.25,0,208981.479772358,3595256.05545306,1018705.15965558,1249555200,4,0,3470,368,0,1,0,0,0.903881219067465,0.0958582964313623,0,0.00026048450117218,0,0,0.533181727385873,0.465553182444441,0,0.00126509016968598,0,0,666240000,581734400,0,1580800,0,53
0.75,0.25,0,0,318937.808165381,6395739.33255668,-6138673.87580007,1249907200,4,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,54
0,0.5,0.5,0,187767.697121434,3268298.70041232,1367121.18515892,1249568000,4,0,3009,425,0,0,0,0,0.876237623762376,0.123762376237624,0,0,0,0,0.462342185459295,0.537657814540705,0,0,0,0,577728000,671840000,0,0,0,55
0.25,0.5,0.25,0,290739.931386714,5597490.65997846,-1951865.40399231,1249857008,4,0,6359,6,0,8,1,0,0.997646689676812,0.00094132412927518,0,0.00125509883903357,0.000156887354879197,0,0.97685414586242,0.00758870809963887,0,0.0101182774661852,0.00543886857175585,0,1220928000,9484800,0,12646400,6797808,56
0.5,0.5,0,0,313837.974314705,6405651.85328516,-6224903.60938854,1249907200,4,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,57
0,0.75,0.25,0,301273.069513744,5927185.80039637,-2758574.84030151,1249837808,4,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,58
0.25,0.75,0,0,311984.981812264,6406868.02364803,-6268168.26733346,1249907200,4,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,59
0,1,0,0,310569.019803984,6407083.00401355,-6281254.31333409,1249907200,4,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,60
0,0,1,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,5,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,61
