index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,esm_case,input_budget,input_2,input_1,input_spat,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
492,0.0,0.75,0.25,-2.78003740105,2.79642,16.0142959793,11,1875000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_13_6_11_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_11_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_11_4_1.875e+09.tif
493,0.25,0.75,0.0,-3.23649539104,2.290638,12.9072360351,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_14_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_11_4_1.25e+09.tif
494,0.0,0.75,0.25,-2.14301222685,2.264414,12.7346479324,11,1250000000.0,2.5,2,1,Maragua_maps/mv_rast_awy_4_Maragua_13_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_11_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_11_4_1.25e+09.tif
495,0.5,0.0,0.5,2.5670131941,0.568927,1.86284654799,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_3_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_12_4_6.25e+08.tif
496,0.75,0.0,0.25,-0.585492657237,2.258736,7.84322911745,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_4_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_12_4_6.25e+08.tif
497,1.0,0.0,0.0,-2.04565750183,2.428576,8.49047797174,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_5_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_12_4_6.25e+08.tif
498,0.25,0.25,0.5,0.462823594256,1.843716,6.43247292573,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_7_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_12_4_6.25e+08.tif
499,0.5,0.25,0.25,-0.927425204914,2.337829,8.20893843864,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_8_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_12_4_6.25e+08.tif
500,0.75,0.25,0.0,-2.10909334173,2.423639,8.5381804254,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_9_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_12_4_6.25e+08.tif
501,0.0,0.25,0.75,2.40534289815,0.704784,2.37447914796,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_6_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_12_4_6.25e+08.tif
502,0.25,0.5,0.25,-1.18651203037,2.369725,8.35991053481,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_11_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_12_4_6.25e+08.tif
503,0.0,0.0,1.0,7.85795915729,0.001097,0.00614585329921,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_1_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_12_4_1.875e+09.tif
504,0.25,0.0,0.75,7.8312851181,0.095095,0.294962250036,12,1875000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_2_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_12_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_12_4_1.875e+09.tif
505,0.0,0.5,0.5,-0.712587660807,2.280853,8.04557753448,12,625000000.0,2.5,4,1,Maragua_maps/mv_rast_awy_4_Maragua_10_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_12_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_12_4_6.25e+08.tif
